market_id,symbol,archetype,relevance,split,entry_date,entry_prob,entry_price,exit_date,exit_price,exit_reason,rf_target,peak_pct,trough_pct,return_pct
1321491,YELP,earnings_beat+direct_company,1.0,val,2026-02-03,0.755,25.07,2026-02-12,22.83,resolution-1d,-0.0149,1.36,-11.49,-8.93
1321492,BGC,earnings_beat+direct_company,1.0,val,2026-02-03,0.76,9.14,2026-02-10,9.51,profit_lock_4%,-0.0107,4.27,-3.61,4.0
1321493,TRIP,earnings_beat+direct_company,1.0,val,2026-02-03,0.85,12.55,2026-02-05,12.8,profit_lock_2%,-0.0359,2.31,-3.51,2.0
1326168,TSEM,earnings_beat+direct_company,1.0,val,2026-02-03,0.7,136.4,2026-02-09,140.49,profit_lock_3%,-0.0064,3.37,-16.03,3.0
1326457,WEN,earnings_beat+direct_company,1.0,val,2026-02-03,0.73,7.78,2026-02-05,8.17,profit_lock_5%,-0.0257,5.14,-2.19,5.0
1326458,MRNA,earnings_beat+direct_company,1.0,val,2026-02-03,0.725,42.2,2026-02-05,43.04,profit_lock_2%,-0.0152,2.77,-5.02,2.0
1326501,LH,earnings_beat+direct_company,1.0,val,2026-02-03,0.795,272.2,2026-02-05,277.64,profit_lock_2%,-0.003,2.29,-0.97,2.0
1326576,WAY,earnings_beat+direct_company,1.0,val,2026-02-03,0.765,24.5,2026-02-13,22.41,poly<0.5086309257760945,-0.0081,1.18,-12.45,-8.53
1339362,LZB,earnings_beat+direct_company,1.0,val,2026-02-05,0.715,38.51,2026-02-17,37.93,resolution-1d,-0.0179,1.77,-4.31,-1.51
1339376,AMPL,earnings_beat+direct_company,1.0,val,2026-02-05,0.71,7.31,2026-02-09,7.6,profit_lock_4%,0.0439,4.65,-3.56,4.0
1339377,MCO,earnings_beat+direct_company,1.0,val,2026-02-05,0.76,457.7,2026-02-10,410.97,trailing_3.7ATR,0.0215,1.72,-10.65,-10.21
1339470,WING,earnings_beat+direct_company,1.0,val,2026-02-05,0.74,266.17,2026-02-09,271.49,profit_lock_2%,-0.0077,2.98,-1.56,2.0
1339583,ADI,earnings_beat+direct_company,1.0,val,2026-02-05,0.82,322.12,2026-02-12,335.0,profit_lock_4%,0.048,4.88,-2.71,4.0
1339584,OXY,earnings_beat+direct_company,1.0,val,2026-02-05,0.78,45.09,2026-02-09,45.99,profit_lock_2%,-0.0191,2.91,-1.26,2.0
1339585,GRMN,earnings_beat+direct_company,1.0,val,2026-02-05,0.73,198.69,2026-02-10,208.41,rf_target,0.0415,3.75,-0.54,4.89
1339586,BKNG,earnings_beat+direct_company,1.0,val,2026-02-05,0.855,177.74,2026-02-18,170.8,resolution-1d,-0.0173,1.81,-9.52,-3.9
1339587,CRL,earnings_beat+direct_company,1.0,val,2026-02-05,0.85,183.7,2026-02-09,191.05,profit_lock_4%,-0.0209,4.25,-1.05,4.0
1339770,TXRH,earnings_beat+direct_company,1.0,val,2026-02-05,0.715,185.96,2026-02-09,189.68,profit_lock_2%,-0.0084,2.98,-0.58,2.0
1339772,HHH,earnings_beat+direct_company,1.0,val,2026-02-05,0.72,80.04,2026-02-09,82.44,profit_lock_3%,-0.0214,3.02,-0.5,3.0
1339782,AKAM,earnings_beat+direct_company,1.0,val,2026-02-05,0.82,91.49,2026-02-06,95.08,rf_target,0.0341,0.0,-0.39,3.92
