market_id,symbol,archetype,relevance,split,entry_date,entry_prob,entry_price,exit_date,exit_price,exit_reason,peak_pct,trough_pct,return_pct,spy_return,qqq_return,excess_spy,excess_qqq,holding_days
569181,INSM,Insmed FDA Approval,0.95,train,2025-07-29,0.8,105.0,2025-08-01,108.15,profit_lock_3%,3.47,-2.66,3.0,-2.1314168772398445,-2.3587075860222795,5.131416877239845,5.3587075860222795,3
569182,TNXP,Tonix Pharmaceuticals FDA Approval,0.95,train,2025-07-29,0.805,42.63,2025-08-04,44.64,poly<0.55,2.63,-16.35,4.71,-0.6438350899779954,-0.5570697960875393,5.353835089977995,5.267069796087539,6
569186,TLX,Telix Pharmaceuticals FDA Approval,0.95,train,2025-07-29,0.815,13.49,2025-08-01,14.16,profit_lock_5%,5.04,-4.38,5.0,-2.1314168772398445,-2.3587075860222795,7.131416877239845,7.3587075860222795,3
569187,PGEN,Precigen FDA Approval,0.95,train,2025-07-29,0.775,1.57,2025-07-31,1.84,profit_lock_17%,17.83,0.0,17.0,-0.5005812780430663,-0.3966435076094399,17.500581278043065,17.39664350760944,2
569189,OTLK,Outlook Therapeutics FDA Approval,0.95,train,2025-08-15,0.755,2.34,2025-08-19,3.02,profit_lock_29%,29.02,-5.13,29.0,-0.5641559227028359,-1.3960572944323957,29.564155922702835,30.396057294432396,4
569190,SNY,Sanofi FDA Approval,0.9,train,2025-07-29,0.76,49.35,2025-07-31,47.43,trailing_2.5ATR,0.0,-9.36,-3.89,-0.5005812780430663,-0.3966435076094399,-3.389418721956934,-3.4933564923905602,2
569208,BIIB,Eisai and Biogen Alzheimer's Approval,0.95,train,2025-07-29,0.775,127.9,2025-08-01,126.46,trailing_2.5ATR,5.89,-2.61,-1.13,-2.1314168772398445,-2.3587075860222795,1.0014168772398446,1.2287075860222796,3
569210,IONS,Ionis Pharmaceuticals Donidalorsen Approval,0.9,train,2025-07-29,0.75,41.48,2025-07-31,42.64,trailing_2.5ATR,10.08,-1.62,2.81,-0.5005812780430663,-0.3966435076094399,3.3105812780430663,3.20664350760944,2
569211,REGN,Regeneron EYLEA HD Approval,0.95,train,2025-07-29,0.775,558.15,2025-07-30,554.58,poly<0.55,0.0,-1.37,-0.64,-0.12593076546151272,0.1339790841133004,-0.5140692345384873,-0.7739790841133004,1
1273938,USO,Iran Geopolitical Conflict,0.64,val,2026-02-06,0.71,76.99,2026-02-12,79.3,profit_lock_3%,3.69,-1.66,3.0,-1.3538524299967492,-1.4778986967620589,4.353852429996749,4.477898696762059,6
1273938,XLE,Iran Geopolitical Conflict,0.56,val,2026-02-06,0.71,53.25,2026-02-12,54.85,profit_lock_3%,3.49,-1.67,3.0,-1.3538524299967492,-1.4778986967620589,4.353852429996749,4.477898696762059,6
1465966,USO,Iran Geopolitical Risk,0.72,val,2026-02-28,0.962,87.19,2026-03-04,94.17,profit_lock_8%,8.23,-4.58,8.0,-0.1821148621911628,0.43743081238913906,8.182114862191163,7.562569187610861,4
1465967,USO,Iran Geopolitical Risk,0.72,val,2026-02-28,0.925,87.19,2026-03-04,94.17,profit_lock_8%,8.23,-4.58,8.0,-0.1821148621911628,0.43743081238913906,8.182114862191163,7.562569187610861,4
1465968,USO,Iran Geopolitical Risk,0.72,val,2026-02-28,0.885,87.19,2026-03-04,94.17,profit_lock_8%,8.23,-4.58,8.0,-0.1821148621911628,0.43743081238913906,8.182114862191163,7.562569187610861,4
1465969,USO,Middle East Oil Supply Risk,0.72,val,2026-02-28,0.835,87.19,2026-03-04,94.17,profit_lock_8%,8.23,-4.58,8.0,-0.1821148621911628,0.43743081238913906,8.182114862191163,7.562569187610861,4
1465969,XLE,Middle East Oil Supply Risk,0.64,val,2026-02-28,0.835,57.04,2026-03-09,56.32,resolution-1d,1.19,-3.0,-1.26,-1.181559091737694,-0.05427109067226432,-0.0784409082623061,-1.2057289093277357,9
1465970,USO,Middle East Oil Supply Risk,0.72,val,2026-02-28,0.76,87.19,2026-03-04,94.17,profit_lock_8%,8.23,-4.58,8.0,-0.1821148621911628,0.43743081238913906,8.182114862191163,7.562569187610861,4
1465970,XLE,Middle East Oil Supply Risk,0.64,val,2026-02-28,0.76,57.04,2026-03-09,56.32,resolution-1d,1.19,-3.0,-1.26,-1.181559091737694,-0.05427109067226432,-0.0784409082623061,-1.2057289093277357,9
1465971,USO,Middle East Oil Supply Risk,0.72,val,2026-03-01,0.85,87.19,2026-03-04,94.17,profit_lock_8%,8.23,-4.58,8.0,-0.1821148621911628,0.43743081238913906,8.182114862191163,7.562569187610861,3
1465971,XLE,Middle East Oil Supply Risk,0.64,val,2026-03-01,0.85,57.04,2026-03-09,56.32,resolution-1d,1.19,-3.0,-1.26,-1.181559091737694,-0.05427109067226432,-0.0784409082623061,-1.2057289093277357,8
1465972,USO,Middle East Oil Supply Risk,0.72,val,2026-02-28,0.77,87.19,2026-03-04,94.17,profit_lock_8%,8.23,-4.58,8.0,-0.1821148621911628,0.43743081238913906,8.182114862191163,7.562569187610861,4
1465972,XLE,Middle East Oil Supply Risk,0.64,val,2026-02-28,0.77,57.04,2026-03-09,56.32,resolution-1d,1.19,-3.0,-1.26,-1.181559091737694,-0.05427109067226432,-0.0784409082623061,-1.2057289093277357,9
1465973,USO,Middle East Oil Supply Risk,0.72,val,2026-03-02,0.91,87.19,2026-03-04,94.17,profit_lock_8%,8.23,-4.58,8.0,-0.1821148621911628,0.43743081238913906,8.182114862191163,7.562569187610861,2
1465973,XLE,Middle East Oil Supply Risk,0.64,val,2026-03-02,0.91,57.04,2026-03-09,56.32,resolution-1d,1.19,-3.0,-1.26,-1.181559091737694,-0.05427109067226432,-0.0784409082623061,-1.2057289093277357,7
1465974,USO,Middle East Oil Supply Risk,0.72,val,2026-03-02,0.88,87.19,2026-03-04,94.17,profit_lock_8%,8.23,-4.58,8.0,-0.1821148621911628,0.43743081238913906,8.182114862191163,7.562569187610861,2
1465974,XLE,Middle East Oil Supply Risk,0.64,val,2026-03-02,0.88,57.04,2026-03-09,56.32,resolution-1d,1.19,-3.0,-1.26,-1.181559091737694,-0.05427109067226432,-0.0784409082623061,-1.2057289093277357,7
1466416,USO,Middle East Oil Supply Risk,0.675,val,2026-02-28,0.95,87.19,2026-03-04,94.17,profit_lock_8%,8.23,-4.58,8.0,-0.1821148621911628,0.43743081238913906,8.182114862191163,7.562569187610861,4
