objective,universe,split,policy_id,policy,selected,baseline,objective_score,n_trades,n_days,active_days,sharpe,maxdd,calmar,ann_return,net_pct,hit,turnover,rule
sharpe,all,val,A_take_profit_fixed@0.08,"strong>=0.6/conf2d, none, no-poly, TP-fixed@0.08",False,,-0.6343075826918775,72,75,62,-0.6343075826918775,0.10825556831502081,-0.9927898413181976,-0.10747502848928081,-0.033273367300499346,0.5555555555555556,24.192,A_take_profit_fixed@0.08
sharpe,all,test,A_take_profit_fixed@0.08,"strong>=0.6/conf2d, none, no-poly, TP-fixed@0.08",False,,4.001793681613623,56,35,33,4.001793681613623,0.022894077867367635,35.96553494643813,0.8233977576052864,0.08700997655880438,0.5357142857142857,40.31999999999999,A_take_profit_fixed@0.08
sharpe,all,train,A_take_profit_rf_magnitude,"strong>=0.6/conf2d, none, no-poly, TP-rf",False,,1.134314717469134,133,320,147,1.134314717469134,0.09379478836057775,1.0089704310372547,0.09463616804122021,0.1216733579647642,0.6766917293233082,10.47375,A_take_profit_rf_magnitude
sharpe,all,val,A_take_profit_rf_magnitude,"strong>=0.6/conf2d, none, no-poly, TP-rf",False,,-1.472813985450771,99,75,62,-1.472813985450771,0.1263783300944833,-1.8184009925469156,-0.22980648088023015,-0.07476946260897155,0.6363636363636364,33.264,A_take_profit_rf_magnitude
sharpe,all,test,A_take_profit_rf_magnitude,"strong>=0.6/conf2d, none, no-poly, TP-rf",False,,5.2845788203091635,78,35,33,5.2845788203091635,0.02238075466388112,45.73997674594634,1.0236951978826525,0.10285940958127915,0.6794871794871795,56.16,A_take_profit_rf_magnitude
sharpe,all,train,B_ratchet_0.03/0.015,"strong>=0.6/conf2d, none, no-poly, ratchet0.03/0.015",False,,0.1987643237774753,111,320,136,0.1987643237774753,0.0872353593003451,0.14350695233112903,0.012518880548703537,0.015923760697722722,0.5675675675675675,8.74125,B_ratchet_0.03/0.015
sharpe,all,val,B_ratchet_0.03/0.015,"strong>=0.6/conf2d, none, no-poly, ratchet0.03/0.015",False,,-1.2394595730768003,76,75,74,-1.2394595730768003,0.10864034990139793,-1.7867566187390773,-0.194113864248452,-0.06221072162115615,0.5,25.535999999999998,B_ratchet_0.03/0.015
sharpe,all,test,B_ratchet_0.03/0.015,"strong>=0.6/conf2d, none, no-poly, ratchet0.03/0.015",False,,4.337748591952808,58,35,33,4.337748591952808,0.026776866747627137,32.61633089025108,0.873363146044768,0.09109901274913779,0.5517241379310345,41.76,B_ratchet_0.03/0.015
sharpe,all,train,B_ratchet_0.04/0.02,"strong>=0.6/conf2d, none, no-poly, ratchet0.04/0.02",False,,0.2938280155799857,106,320,170,0.2938280155799857,0.07347547127588705,0.2753853277740276,0.020234066740661305,0.025763855141963665,0.5566037735849056,8.3475,B_ratchet_0.04/0.02
sharpe,all,val,B_ratchet_0.04/0.02,"strong>=0.6/conf2d, none, no-poly, ratchet0.04/0.02",False,,-1.30495193524182,73,75,62,-1.30495193524182,0.123326206301975,-1.6665750399370638,-0.20553237719300055,-0.06618515286173354,0.4931506849315068,24.528,B_ratchet_0.04/0.02
sharpe,all,test,B_ratchet_0.04/0.02,"strong>=0.6/conf2d, none, no-poly, ratchet0.04/0.02",False,,3.131381774297349,55,35,33,3.131381774297349,0.02792819886983977,18.081511301792165,0.504984043503707,0.05841797712481789,0.509090909090909,39.6,B_ratchet_0.04/0.02
sharpe,all,train,B_ratchet_0.06/0.03,"strong>=0.6/conf2d, none, no-poly, ratchet0.06/0.03",False,,0.34508595033225026,107,320,170,0.34508595033225026,0.07347547127588705,0.3326828844989614,0.024444031723982684,0.0311418077896648,0.5607476635514018,8.42625,B_ratchet_0.06/0.03
sharpe,all,val,B_ratchet_0.06/0.03,"strong>=0.6/conf2d, none, no-poly, ratchet0.06/0.03",False,,-1.0702649633554637,72,75,74,-1.0702649633554637,0.10916494374713048,-1.4978754350147796,-0.16351548760359702,-0.051751869074187606,0.5,24.192,B_ratchet_0.06/0.03
sharpe,all,test,B_ratchet_0.06/0.03,"strong>=0.6/conf2d, none, no-poly, ratchet0.06/0.03",False,,4.750944189830164,55,35,34,4.750944189830164,0.022894077867367635,41.84834853612048,0.9580793500066827,0.09782213827127983,0.5454545454545454,39.6,B_ratchet_0.06/0.03
