market_id,symbol,archetype,relevance,split,entry_date,entry_prob,entry_price,exit_date,exit_price,exit_reason,rf_target,peak_pct,trough_pct,return_pct
647937,ICE,earnings_beat+direct_company,1.0,train,2025-10-25,0.785,159.84,2025-10-29,151.83,trailing_3.0ATR,-0.0106,0.17,-6.16,-5.01
647938,MA,earnings_beat+direct_company,1.0,train,2025-10-24,0.875,573.67,2025-10-30,553.68,resolution-1d,-0.0092,0.36,-4.89,-3.48
647962,RBLX,earnings_beat+direct_company,1.0,train,2025-10-24,0.86,127.71,2025-10-27,128.49,rf_target,0.0033,0.0,-0.05,0.61
647966,ROKU,earnings_beat+direct_company,1.0,train,2025-10-24,0.88,96.29,2025-10-27,98.81,rf_target,0.0105,0.0,-0.2,2.62
648017,SPGI,earnings_beat+direct_company,1.0,train,2025-10-24,0.94,489.45,2025-10-30,491.57,resolution-1d,-0.005,1.79,-3.78,0.43
647888,EL,earnings_beat+direct_company,1.0,train,2025-10-27,0.77,100.46,2025-10-30,97.61,resolution-1d,-0.0104,0.0,-8.03,-2.84
648379,RDDT,earnings_beat+direct_company,1.0,train,2025-10-26,0.825,219.24,2025-10-30,194.42,resolution-1d,0.0028,1.36,-11.6,-11.32
648228,CBOE,earnings_beat+direct_company,1.0,train,2025-10-25,0.795,238.27,2025-10-31,245.64,resolution-1d,-0.0091,1.06,-2.72,3.09
648038,TFX,earnings_beat+direct_company,1.0,train,2025-10-26,0.825,132.55,2025-11-03,121.59,trailing_3.0ATR,-0.0572,0.07,-9.45,-8.27
648377,FOXA,earnings_beat+direct_company,1.0,train,2025-10-27,0.825,61.27,2025-10-30,65.51,resolution-1d,-0.0082,1.45,-2.77,6.92
648376,CL,earnings_beat+direct_company,1.0,train,2025-10-27,0.835,77.83,2025-10-31,77.05,resolution-1d,-0.008,0.0,-4.12,-1.0
648224,WAY,earnings_beat+direct_company,1.0,train,2025-10-27,0.785,39.33,2025-10-29,39.62,resolution-1d,-0.0051,1.59,-0.86,0.74
652465,PLTR,earnings_beat+direct_company,1.0,train,2025-10-30,0.815,194.55,2025-10-31,200.47,rf_target,0.0064,0.0,-0.22,3.04
652577,CRL,earnings_beat+direct_company,1.0,train,2025-10-29,0.815,180.15,2025-11-05,161.37,trailing_3.0ATR,-0.0549,1.06,-11.18,-10.43
652605,NYT,earnings_beat+direct_company,0.95,train,2025-10-28,0.865,57.42,2025-11-05,57.61,resolution-1d,-0.0094,1.11,-2.59,0.33
652646,LYFT,earnings_beat+direct_company,0.95,train,2025-10-28,0.875,20.03,2025-11-04,21.03,profit_lock_5%,-0.0175,5.17,-3.22,5.0
652657,FTDR,earnings_beat+direct_company,0.95,train,2025-10-29,0.845,66.17,2025-10-31,68.82,profit_lock_4%,-0.0151,4.07,-1.78,4.0
655260,MCD,earnings_beat+direct_company,0.98,train,2025-11-04,0.785,299.21,2025-11-05,305.67,resolution-1d,-0.0091,0.0,-0.93,2.16
655266,APP,earnings_beat+direct_company,0.95,train,2025-10-30,0.78,620.62,2025-11-03,651.65,profit_lock_5%,-0.0326,5.2,-0.14,5.0
655400,HOOD,earnings_beat+direct_company,0.95,train,2025-11-01,0.85,147.08,2025-11-05,142.48,resolution-1d,-0.0217,0.0,-7.87,-3.13
655450,HUM,earnings_beat+direct_company,0.95,train,2025-11-01,0.82,279.92,2025-11-05,256.93,trailing_3.0ATR,-0.0383,1.55,-10.27,-8.21
655449,FIS,earnings_beat+direct_company,0.95,train,2025-11-03,0.835,62.2,2025-11-05,64.75,resolution-1d,-0.0103,2.06,-1.8,4.1
655388,ARM,earnings_beat+direct_company,0.95,train,2025-11-01,0.845,168.68,2025-11-05,160.19,resolution-1d,-0.0467,0.0,-7.32,-5.03
655399,QCOM,earnings_beat+direct_company,0.95,train,2025-10-31,0.835,180.9,2025-11-05,179.72,resolution-1d,-0.0148,1.41,-4.76,-0.65
655448,TKO,earnings_beat+direct_company,0.95,train,2025-11-02,0.775,187.71,2025-11-05,187.24,poly<0.534086556485947,-0.011,0.28,-1.77,-0.25
655460,HUBS,earnings_beat+direct_company,0.95,train,2025-10-31,0.835,491.92,2025-11-05,464.71,resolution-1d,-0.0175,1.23,-6.9,-5.53
655451,ATO,earnings_beat+direct_company,0.95,train,2025-11-01,0.925,172.7,2025-11-05,172.59,resolution-1d,-0.0109,0.82,-1.96,-0.06
657007,EXPE,earnings_beat+direct_company,1.0,train,2025-11-01,0.915,215.61,2025-11-06,219.7,resolution-1d,-0.0117,0.59,-3.33,1.9
657080,DBX,earnings_beat+direct_company,1.0,train,2025-10-30,0.855,28.76,2025-11-06,28.67,resolution-1d,-0.0169,3.58,-2.16,-0.31
656996,DDOG,earnings_beat+direct_company,1.0,train,2025-11-01,0.86,162.08,2025-11-06,190.82,resolution-1d,-0.0089,0.49,-4.56,17.73
657005,DD,earnings_beat+direct_company,1.0,train,2025-11-01,0.92,34.69,2025-11-04,37.76,rf_target,0.0362,0.0,-3.89,8.85
657013,RL,earnings_beat+direct_company,1.0,train,2025-11-01,0.9,314.95,2025-11-06,315.04,resolution-1d,-0.0104,1.5,-2.67,0.03
657072,H,earnings_beat+direct_company,1.0,train,2025-11-03,0.86,136.66,2025-11-06,146.37,poly<0.534086556485947,-0.0206,2.1,-1.81,7.11
657073,AKAM,earnings_beat+direct_company,1.0,train,2025-11-01,0.82,74.53,2025-11-06,73.0,resolution-1d,-0.0144,0.0,-4.98,-2.05
657079,MRNA,earnings_beat+direct_company,1.0,train,2025-11-02,0.855,24.91,2025-11-06,24.33,resolution-1d,-0.0359,0.96,-5.74,-2.33
656755,MAR,earnings_beat+direct_company,1.0,train,2025-11-01,0.875,263.89,2025-11-04,272.24,resolution-1d,-0.0034,0.0,-1.86,3.16
656791,AMPL,earnings_beat+direct_company,1.0,train,2025-11-01,0.785,9.93,2025-11-05,9.64,resolution-1d,-0.0262,0.0,-6.24,-2.92
656855,COP,earnings_beat+direct_company,1.0,train,2025-11-02,0.865,88.57,2025-11-06,85.66,resolution-1d,-0.0063,0.16,-3.39,-3.29
657004,ED,earnings_beat+direct_company,1.0,train,2025-11-02,0.91,96.64,2025-11-06,96.99,resolution-1d,-0.0099,2.05,-1.18,0.36
657295,ICUI,earnings_beat+direct_company,1.0,train,2025-11-01,0.905,122.86,2025-11-06,129.0,profit_lock_5%,-0.0003,5.14,-5.1,5.0
