objective,universe,split,policy_id,policy,selected,baseline,objective_score,n_trades,n_days,active_days,sharpe,maxdd,calmar,ann_return,net_pct,hit,turnover
return_maxdd,pre_drop,val,p000,"strong>=0.6/conf2d, none, poly<0.5",False,,0.06430637027478237,17,74,38,3.585413297442539,0.011319023082840052,20.888705650830218,0.23643974143239865,0.06430637027478237,0.5294117647058824,5.789189189189189
return_maxdd,pre_drop,train,p001,"strong>=0.6/conf2d, fixed@0.03, poly<0.5",False,,0.08141889415292591,56,346,161,1.35232335581412,0.04945324978677157,1.186274174653602,0.05866511307474087,0.08141889415292591,0.6964285714285714,4.078612716763005
return_maxdd,pre_drop,val,p001,"strong>=0.6/conf2d, fixed@0.03, poly<0.5",False,,0.06985161945927132,19,74,54,3.419823031882217,0.014402959651936276,17.948776552636804,0.25851550448924776,0.06985161945927132,0.47368421052631576,6.4702702702702695
return_maxdd,pre_drop,train,p002,"strong>=0.6/conf2d, fixed@0.05, poly<0.5",False,,0.0743806859382794,52,346,165,1.2280715075516104,0.04945324978677157,1.0847098448248176,0.05364242690229193,0.0743806859382794,0.7115384615384616,3.7872832369942198
return_maxdd,pre_drop,val,p002,"strong>=0.6/conf2d, fixed@0.05, poly<0.5",False,,0.06407612728950807,19,74,54,3.3100745642586955,0.014402959651936165,16.35282631821987,0.2355290976564406,0.06407612728950807,0.47368421052631576,6.4702702702702695
return_maxdd,pre_drop,train,p003,"strong>=0.6/conf2d, fixed@0.08, poly<0.5",False,,0.08479611122928987,52,346,165,1.330501876306732,0.049453249786772346,1.234945054894708,0.061072046272647285,0.08479611122928987,0.7307692307692307,3.7872832369942198
return_maxdd,pre_drop,val,p003,"strong>=0.6/conf2d, fixed@0.08, poly<0.5",False,,0.07413503333633154,18,74,54,4.077926979807485,0.010731788468221759,25.695377997652443,0.2757573612818056,0.07413503333633154,0.5555555555555556,6.129729729729729
return_maxdd,pre_drop,train,p004,"strong>=0.6/conf2d, fixed_trailing@0.03, poly<0.5",False,,0.1054850632476978,61,346,159,2.103592259748306,0.018579357457003898,4.078337259414513,0.07577288577287988,0.1054850632476978,0.6721311475409836,4.442774566473988
return_maxdd,pre_drop,val,p004,"strong>=0.6/conf2d, fixed_trailing@0.03, poly<0.5",False,,0.033353164756559917,25,74,49,1.8094150031375384,0.020177823334497025,5.85834550720038,0.11820866067673363,0.033353164756559917,0.4,8.513513513513514
return_maxdd,pre_drop,train,p005,"strong>=0.6/conf2d, fixed_trailing@0.05, poly<0.5",False,,0.0892972281768023,56,346,165,1.5510043648660095,0.02107428376012943,3.0500119728872184,0.06427681778841743,0.0892972281768023,0.6964285714285714,4.078612716763005
