market_id,symbol,archetype,relevance,split,entry_date,entry_prob,entry_price,exit_date,exit_price,exit_reason,peak_pct,trough_pct,return_pct,_entry_ts,_exit_ts,_qty,_position_size_pct,_asset_entry_notional,_benchmark_sell_cost,_asset_buy_cost,realized_exit_reason,gross_pnl,pnl,pnl_pct,txn_cost,exit_value,benchmark_rebuy_qty
2186405,ADI,Analog Devices Earnings,0.9,test,2026-05-12,0.895,419.65,2026-05-20,398.05,resolution-1d,3.83,-8.53,-5.15,2026-05-12 00:00:00+00:00,2026-05-20 00:00:00+00:00,26,0.10297824806821806,10910.9,6.32,5.81,resolution-1d,-561.6,-584.88,-5.3606,23.28,10349.3,14
2186406,DY,Dycom Industries Earnings,0.9,test,2026-05-12,0.855,429.4,2026-05-20,412.78,resolution-1d,5.73,-7.19,-3.87,2026-05-12 00:00:00+00:00,2026-05-20 00:00:00+00:00,26,0.10297824806821806,11164.4,6.32,5.93,resolution-1d,-432.12,-456.08,-4.0852,23.96,10732.28,15
2186407,NVDA,NVIDIA Earnings,1.0,test,2026-05-12,0.94,220.78,2026-05-20,223.47,resolution-1d,7.14,-2.65,1.22,2026-05-12 00:00:00+00:00,2026-05-20 00:00:00+00:00,51,0.10297824806821806,11259.78,6.32,5.98,resolution-1d,137.19,112.83,1.002,24.36,11396.97,15
2186413,WDAY,Workday Earnings,0.9,test,2026-05-12,0.885,118.62,2026-05-21,121.85,resolution-1d,14.59,-5.12,2.72,2026-05-12 00:00:00+00:00,2026-05-21 00:00:00+00:00,95,0.10297824806821806,11268.9,6.32,5.98,resolution-1d,306.85,282.02,2.5027,24.83,11575.75,16
2245146,SMTC,Semtech Earnings,0.9,test,2026-05-18,0.905,132.39,2026-05-26,164.46,resolution-1d,24.24,-5.69,24.22,2026-05-18 00:00:00+00:00,2026-05-26 00:00:00+00:00,47,0.13783177190529,6222.33,3.7,3.46,resolution-1d,1507.29,1491.7,23.9733,15.59,7729.62,10
2256958,CRM,Salesforce Earnings,0.95,test,2026-05-14,0.84,167.58,2026-05-27,177.51,resolution-1d,11.85,-1.94,5.93,2026-05-14 00:00:00+00:00,2026-05-27 00:00:00+00:00,85,0.12479173012509934,14244.3,7.95,7.47,resolution-1d,844.05,812.67,5.7052,31.38,15088.35,20
2256943,SNOW,Snowflake Earnings,0.9,test,2026-05-15,0.875,157.47,2026-05-27,175.26,resolution-1d,15.11,-5.33,11.3,2026-05-15 00:00:00+00:00,2026-05-27 00:00:00+00:00,13,0.12479173012509934,2047.11,1.47,1.37,resolution-1d,231.27,225.43,11.0123,5.84,2278.38,3
2256959,HPQ,HP Earnings,0.9,test,2026-05-22,0.74,25.24,2026-05-27,25.49,resolution-1d,0.2,-10.54,0.99,2026-05-22 00:00:00+00:00,2026-05-27 00:00:00+00:00,454,0.10361817986293734,11458.96,6.41,7.32,resolution-1d,113.5,86.25,0.7527,27.25,11572.46,15
2312808,CXM,Sprinklr Earnings,1.0,test,2026-05-20,0.855,5.27,2026-05-28,5.36,poly<0.5583932768240814,4.17,-3.61,1.71,2026-05-20 00:00:00+00:00,2026-05-28 00:00:00+00:00,2296,0.10513955194213517,12099.92,6.75,14.09,poly<0.5583932768240814,206.64,165.03,1.3639,41.61,12306.56,16
2277318,DELL,Dell Technologies Earnings,1.0,test,2026-05-20,0.94,242.93,2026-05-28,317.05,resolution-1d,28.49,-2.36,30.51,2026-05-20 00:00:00+00:00,2026-05-28 00:00:00+00:00,49,0.10513955194213517,11903.57,6.75,6.3,resolution-1d,3631.88,3602.21,30.2616,29.67,15535.45,21
2277310,OKTA,Okta Earnings,1.0,test,2026-05-20,0.94,89.04,2026-05-28,94.72,resolution-1d,8.25,-6.39,6.38,2026-05-20 00:00:00+00:00,2026-05-28 00:00:00+00:00,136,0.10513955194213517,12109.44,6.75,6.53,resolution-1d,772.48,745.32,6.1549,27.16,12881.92,17
2277279,WSM,Williams-Sonoma Earnings,1.0,test,2026-05-20,0.88,180.25,2026-05-28,205.6,resolution-1d,14.8,-6.63,14.06,2026-05-20 00:00:00+00:00,2026-05-28 00:00:00+00:00,27,0.10513955194213517,4866.75,2.98,2.78,resolution-1d,684.45,672.49,13.818,11.96,5551.2,7
2297855,HPE,Hewlett Packard Enterprise Earnings,1.0,test,2026-05-19,0.86,32.62,2026-06-01,47.0,resolution-1d,36.65,-2.27,44.08,2026-05-19 00:00:00+00:00,2026-06-01 00:00:00+00:00,279,0.12646675226893694,9100.98,5.16,5.53,resolution-1d,4012.02,3986.77,43.8059,25.25,13113.0,17
2312767,PANW,Palo Alto Networks Earnings,1.0,test,2026-05-20,0.89,246.66,2026-06-01,300.48,resolution-1d,15.02,-4.62,21.82,2026-05-20 00:00:00+00:00,2026-06-01 00:00:00+00:00,49,0.10513955194213517,12086.34,6.75,6.39,resolution-1d,2637.18,2608.51,21.5823,28.67,14723.52,19
2335553,LULU,Lululemon Athletica Earnings,1.0,test,2026-05-26,0.885,127.35,2026-06-01,132.09,resolution-1d,6.9,-1.68,3.72,2026-05-26 00:00:00+00:00,2026-06-01 00:00:00+00:00,57,0.14088195185232943,7258.95,4.2,3.98,resolution-1d,270.18,253.61,3.4938,16.57,7529.13,10
2312782,DG,Dollar General Earnings,1.0,test,2026-05-27,0.815,104.33,2026-06-01,109.93,resolution-1d,6.82,-1.82,5.37,2026-05-27 00:00:00+00:00,2026-06-01 00:00:00+00:00,174,0.15,18153.42,9.98,9.69,resolution-1d,974.4,934.39,5.1472,40.01,19127.82,25
2357825,GTLB,GitLab Earnings,1.0,test,2026-05-27,0.805,26.52,2026-06-01,33.79,resolution-1d,17.35,-1.6,27.41,2026-05-27 00:00:00+00:00,2026-06-01 00:00:00+00:00,357,0.15,9467.64,5.36,5.98,resolution-1d,2595.39,2570.14,27.1466,25.25,12063.03,16
2335609,CBRL,Cracker Barrel Earnings,1.0,test,2026-05-29,0.765,33.82,2026-06-01,35.06,resolution-1d,0.0,-0.53,3.67,2026-05-29 00:00:00+00:00,2026-06-01 00:00:00+00:00,566,0.15,19142.12,10.48,11.55,resolution-1d,701.84,657.35,3.434,44.49,19843.96,26
