run_id,original_symbol,resolved_symbol,official_symbol,security_name,exchange,is_etf,match_method,rejection_reason,updated_at
5fb1a1cd-7513-4085-a0c4-499d66c205ab,CBOE,CBOE,CBOE,"Cboe Global Markets, Inc. Common Stock",Cboe BZX,False,exact_symbol,,2026-06-25 07:20:25.096317+00:00
5fb1a1cd-7513-4085-a0c4-499d66c205ab,CBRE,CBRE,CBRE,CBRE Group Inc Common Stock Class A,NYSE,False,exact_symbol,,2026-06-25 07:20:25.122703+00:00
5fb1a1cd-7513-4085-a0c4-499d66c205ab,CBRL,CBRL,CBRL,"Cracker Barrel Old Country Store, Inc. - Common Stock",NASDAQ,False,exact_symbol,,2026-06-25 07:20:25.130221+00:00
5fb1a1cd-7513-4085-a0c4-499d66c205ab,CBT,CBT,CBT,Cabot Corporation Common Stock,NYSE,False,exact_symbol,,2026-06-25 07:20:25.138223+00:00
5fb1a1cd-7513-4085-a0c4-499d66c205ab,CCL,CCL,CCL,Carnival Corporation Ltd. Common Shares,NYSE,False,exact_symbol,,2026-06-25 07:20:25.147443+00:00
5fb1a1cd-7513-4085-a0c4-499d66c205ab,CELH,CELH,CELH,"Celsius Holdings, Inc. - Common Stock",NASDAQ,False,exact_symbol,,2026-06-25 07:20:25.154233+00:00
5fb1a1cd-7513-4085-a0c4-499d66c205ab,CFG,CFG,CFG,"Citizens Financial Group, Inc. Common Stock",NYSE,False,exact_symbol,,2026-06-25 07:20:25.162221+00:00
5fb1a1cd-7513-4085-a0c4-499d66c205ab,CGBD,CGBD,CGBD,"Carlyle Secured Lending, Inc. - Closed End Fund",NASDAQ,False,exact_symbol,,2026-06-25 07:20:25.170212+00:00
5fb1a1cd-7513-4085-a0c4-499d66c205ab,CHDN,CHDN,CHDN,"Churchill Downs, Incorporated - Common Stock",NASDAQ,False,exact_symbol,,2026-06-25 07:20:25.178237+00:00
5fb1a1cd-7513-4085-a0c4-499d66c205ab,CHGG,CHGG,CHGG,"Chegg, Inc. Common Stock",NYSE,False,exact_symbol,,2026-06-25 07:20:25.186601+00:00
5fb1a1cd-7513-4085-a0c4-499d66c205ab,CHWY,CHWY,CHWY,"Chewy, Inc. Class A Common Stock",NYSE,False,exact_symbol,,2026-06-25 07:20:25.196504+00:00
5fb1a1cd-7513-4085-a0c4-499d66c205ab,CI,CI,CI,The Cigna Group Common Stock,NYSE,False,exact_symbol,,2026-06-25 07:20:25.204214+00:00
5fb1a1cd-7513-4085-a0c4-499d66c205ab,CING,CING,CING,Cingulate Inc. - Common Stock,NASDAQ,False,exact_symbol,,2026-06-25 07:20:25.212231+00:00
5fb1a1cd-7513-4085-a0c4-499d66c205ab,CL,CL,CL,Colgate-Palmolive Company Common Stock,NYSE,False,exact_symbol,,2026-06-25 07:20:25.220454+00:00
5fb1a1cd-7513-4085-a0c4-499d66c205ab,CLX,CLX,CLX,Clorox Company (The) Common Stock,NYSE,False,exact_symbol,,2026-06-25 07:20:25.228218+00:00
5fb1a1cd-7513-4085-a0c4-499d66c205ab,CME,CME,CME,CME Group Inc. - Class A Common Stock,NASDAQ,False,exact_symbol,,2026-06-25 07:20:25.237629+00:00
5fb1a1cd-7513-4085-a0c4-499d66c205ab,CMG,CMG,CMG,"Chipotle Mexican Grill, Inc. Common Stock",NYSE,False,exact_symbol,,2026-06-25 07:20:25.246350+00:00
5fb1a1cd-7513-4085-a0c4-499d66c205ab,CNXC,CNXC,CNXC,Concentrix Corporation - Common Stock,NASDAQ,False,exact_symbol,,2026-06-25 07:20:25.255051+00:00
5fb1a1cd-7513-4085-a0c4-499d66c205ab,COF,COF,COF,Capital One Financial Corporation Common Stock,NYSE,False,exact_symbol,,2026-06-25 07:20:25.262378+00:00
5fb1a1cd-7513-4085-a0c4-499d66c205ab,COIN,COIN,COIN,"Coinbase Global, Inc. - Class A Common Stock",NASDAQ,False,exact_symbol,,2026-06-25 07:20:25.268347+00:00
5fb1a1cd-7513-4085-a0c4-499d66c205ab,COP,COP,COP,ConocoPhillips Common Stock,NYSE,False,exact_symbol,,2026-06-25 07:20:25.276437+00:00
5fb1a1cd-7513-4085-a0c4-499d66c205ab,COST,COST,COST,Costco Wholesale Corporation - Common Stock,NASDAQ,False,exact_symbol,,2026-06-25 07:20:25.284400+00:00
5fb1a1cd-7513-4085-a0c4-499d66c205ab,COUR,COUR,COUR,"Coursera, Inc. Common Stock",NYSE,False,exact_symbol,,2026-06-25 07:20:25.293347+00:00
5fb1a1cd-7513-4085-a0c4-499d66c205ab,CPB,CPB,CPB,The Campbell's Company - Common Stock,NASDAQ,False,exact_symbol,,2026-06-25 07:20:25.300360+00:00
5fb1a1cd-7513-4085-a0c4-499d66c205ab,CRCL,CRCL,CRCL,"Circle Internet Group, Inc. Class A Common Stock",NYSE,False,exact_symbol,,2026-06-25 07:20:25.308348+00:00
5fb1a1cd-7513-4085-a0c4-499d66c205ab,CRL,CRL,CRL,"Charles River Laboratories International, Inc. Common Stock",NYSE,False,exact_symbol,,2026-06-25 07:20:25.316362+00:00
5fb1a1cd-7513-4085-a0c4-499d66c205ab,CRM,CRM,CRM,"Salesforce, Inc. Common Stock",NYSE,False,exact_symbol,,2026-06-25 07:20:25.324744+00:00
5fb1a1cd-7513-4085-a0c4-499d66c205ab,CRSP,CRSP,CRSP,CRISPR Therapeutics AG - Common Shares,NASDAQ,False,exact_symbol,,2026-06-25 07:20:25.332392+00:00
5fb1a1cd-7513-4085-a0c4-499d66c205ab,CRWD,CRWD,CRWD,"CrowdStrike Holdings, Inc. - Class A Common Stock",NASDAQ,False,exact_symbol,,2026-06-25 07:20:25.340437+00:00
5fb1a1cd-7513-4085-a0c4-499d66c205ab,CSCO,CSCO,CSCO,"Cisco Systems, Inc. - Common Stock",NASDAQ,False,exact_symbol,,2026-06-25 07:20:25.346352+00:00
5fb1a1cd-7513-4085-a0c4-499d66c205ab,CSGP,CSGP,CSGP,"CoStar Group, Inc. - Common Stock",NASDAQ,False,exact_symbol,,2026-06-25 07:20:25.354363+00:00
5fb1a1cd-7513-4085-a0c4-499d66c205ab,CTAS,CTAS,CTAS,Cintas Corporation - Common Stock,NASDAQ,False,exact_symbol,,2026-06-25 07:20:25.362223+00:00
5fb1a1cd-7513-4085-a0c4-499d66c205ab,CVNA,CVNA,CVNA,Carvana Co. Class A Common Stock,NYSE,False,exact_symbol,,2026-06-25 07:20:25.370217+00:00
5fb1a1cd-7513-4085-a0c4-499d66c205ab,CVS,CVS,CVS,CVS Health Corporation Common Stock,NYSE,False,exact_symbol,,2026-06-25 07:20:25.376388+00:00
5fb1a1cd-7513-4085-a0c4-499d66c205ab,CVX,CVX,CVX,Chevron Corporation Common Stock,NYSE,False,exact_symbol,,2026-06-25 07:20:25.384293+00:00
5fb1a1cd-7513-4085-a0c4-499d66c205ab,CXM,CXM,CXM,"Sprinklr, Inc. Class A Common Stock",NYSE,False,exact_symbol,,2026-06-25 07:20:25.393126+00:00
5fb1a1cd-7513-4085-a0c4-499d66c205ab,CYTK,CYTK,CYTK,"Cytokinetics, Incorporated - Common Stock",NASDAQ,False,exact_symbol,,2026-06-25 07:20:25.402258+00:00
5fb1a1cd-7513-4085-a0c4-499d66c205ab,CZR,CZR,CZR,"Caesars Entertainment, Inc. - Common Stock",NASDAQ,False,exact_symbol,,2026-06-25 07:20:25.410235+00:00
5fb1a1cd-7513-4085-a0c4-499d66c205ab,DAL,DAL,DAL,"Delta Air Lines, Inc. Common Stock",NYSE,False,exact_symbol,,2026-06-25 07:20:25.418231+00:00
5fb1a1cd-7513-4085-a0c4-499d66c205ab,DASH,DASH,DASH,"DoorDash, Inc. - Common Stock",NASDAQ,False,exact_symbol,,2026-06-25 07:20:25.426361+00:00
5fb1a1cd-7513-4085-a0c4-499d66c205ab,DBI,DBI,DBI,Designer Brands Inc. Class A Common Stock,NYSE,False,exact_symbol,,2026-06-25 07:20:25.436321+00:00
5fb1a1cd-7513-4085-a0c4-499d66c205ab,DBX,DBX,DBX,"Dropbox, Inc. - Class A Common Stock",NASDAQ,False,exact_symbol,,2026-06-25 07:20:25.446535+00:00
5fb1a1cd-7513-4085-a0c4-499d66c205ab,DD,DD,DD,"DuPont de Nemours, Inc. Common Stock",NYSE,False,exact_symbol,,2026-06-25 07:20:25.454459+00:00
5fb1a1cd-7513-4085-a0c4-499d66c205ab,DDOG,DDOG,DDOG,"Datadog, Inc. - Class A Common Stock",NASDAQ,False,exact_symbol,,2026-06-25 07:20:25.462376+00:00
5fb1a1cd-7513-4085-a0c4-499d66c205ab,DE,DE,DE,Deere & Company Common Stock,NYSE,False,exact_symbol,,2026-06-25 07:20:25.470232+00:00
5fb1a1cd-7513-4085-a0c4-499d66c205ab,DEFT,DEFT,DEFT,"Defi Technologies, Inc. - Common Stock",NASDAQ,False,exact_symbol,,2026-06-25 07:20:25.479092+00:00
5fb1a1cd-7513-4085-a0c4-499d66c205ab,DELL,DELL,DELL,Dell Technologies Inc. Class C Common Stock,NYSE,False,exact_symbol,,2026-06-25 07:20:25.486606+00:00
5fb1a1cd-7513-4085-a0c4-499d66c205ab,DG,DG,DG,Dollar General Corporation Common Stock,NYSE,False,exact_symbol,,2026-06-25 07:20:25.494375+00:00
5fb1a1cd-7513-4085-a0c4-499d66c205ab,DGX,DGX,DGX,Quest Diagnostics Incorporated Common Stock,NYSE,False,exact_symbol,,2026-06-25 07:20:25.504621+00:00
5fb1a1cd-7513-4085-a0c4-499d66c205ab,DIS,DIS,DIS,Walt Disney Company (The) Common Stock,NYSE,False,exact_symbol,,2026-06-25 07:20:25.512229+00:00
5fb1a1cd-7513-4085-a0c4-499d66c205ab,DKNG,DKNG,DKNG,DraftKings Inc. - Class A Common Stock,NASDAQ,False,exact_symbol,,2026-06-25 07:20:25.522349+00:00
5fb1a1cd-7513-4085-a0c4-499d66c205ab,DKS,DKS,DKS,Dick's Sporting Goods Inc Common Stock,NYSE,False,exact_symbol,,2026-06-25 07:20:25.530389+00:00
5fb1a1cd-7513-4085-a0c4-499d66c205ab,DLB,DLB,DLB,Dolby Laboratories Common Stock,NYSE,False,exact_symbol,,2026-06-25 07:20:25.545213+00:00
5fb1a1cd-7513-4085-a0c4-499d66c205ab,DLTR,DLTR,DLTR,"Dollar Tree, Inc. - Common Stock",NASDAQ,False,exact_symbol,,2026-06-25 07:20:25.552223+00:00
5fb1a1cd-7513-4085-a0c4-499d66c205ab,DNUT,DNUT,DNUT,"Krispy Kreme, Inc. - Common Stock",NASDAQ,False,exact_symbol,,2026-06-25 07:20:25.560388+00:00
5fb1a1cd-7513-4085-a0c4-499d66c205ab,DOCU,DOCU,DOCU,"DocuSign, Inc. - Common Stock",NASDAQ,False,exact_symbol,,2026-06-25 07:20:25.570211+00:00
5fb1a1cd-7513-4085-a0c4-499d66c205ab,DOW,DOW,DOW,Dow Inc. Common Stock,NYSE,False,exact_symbol,,2026-06-25 07:20:25.578222+00:00
5fb1a1cd-7513-4085-a0c4-499d66c205ab,DPZ,DPZ,DPZ,Domino's Pizza Inc - Common Stock,NASDAQ,False,exact_symbol,,2026-06-25 07:20:25.586238+00:00
5fb1a1cd-7513-4085-a0c4-499d66c205ab,DY,DY,DY,"Dycom Industries, Inc. Common Stock",NYSE,False,exact_symbol,,2026-06-25 07:20:25.596377+00:00
5fb1a1cd-7513-4085-a0c4-499d66c205ab,EA,EA,EA,Electronic Arts Inc. - Common Stock,NASDAQ,False,exact_symbol,,2026-06-25 07:20:25.604381+00:00
5fb1a1cd-7513-4085-a0c4-499d66c205ab,EBAY,EBAY,EBAY,eBay Inc. - Common Stock,NASDAQ,False,exact_symbol,,2026-06-25 07:20:25.612369+00:00
