symbol,trade_count,total_net_profit,win_rate,average_winner,average_loser,payoff_ratio,profit_factor,expectancy,largest_winner,largest_loser,maximum_consecutive_losses
NYT,1,30.271715685921393,1.0,30.271715685921393,,,,30.271715685921393,30.271715685921393,,0
OKTA,1,93.27215286551798,1.0,93.27215286551798,,,,93.27215286551798,93.27215286551798,,0
ON,1,12.572509377360376,1.0,12.572509377360376,,,,12.572509377360376,12.572509377360376,,0
OPEN,1,-34.3740701782522,0.0,,-34.3740701782522,,0.0,-34.3740701782522,,-34.3740701782522,1
ORLY,1,-1.0841154944569074,0.0,,-1.0841154944569074,,0.0,-1.0841154944569074,,-1.0841154944569074,1
PEP,1,10.172684454163397,1.0,10.172684454163397,,,,10.172684454163397,10.172684454163397,,0
PFE,1,14.882619425526347,1.0,14.882619425526347,,,,14.882619425526347,14.882619425526347,,0
POWL,1,-49.74197015132559,0.0,,-49.74197015132559,,0.0,-49.74197015132559,,-49.74197015132559,1
PYPL,1,12.015539288847936,1.0,12.015539288847936,,,,12.015539288847936,12.015539288847936,,0
RBLX,1,12.308270017413227,1.0,12.308270017413227,,,,12.308270017413227,12.308270017413227,,0
RL,1,-42.28092583328426,0.0,,-42.28092583328426,,0.0,-42.28092583328426,,-42.28092583328426,1
ROKU,1,-23.47368407145035,0.0,,-23.47368407145035,,0.0,-23.47368407145035,,-23.47368407145035,1
SNOW,1,162.7662282719709,1.0,162.7662282719709,,,,162.7662282719709,162.7662282719709,,0
SOFI,1,-42.71603568730328,0.0,,-42.71603568730328,,0.0,-42.71603568730328,,-42.71603568730328,1
SSTK,1,-35.70782448224278,0.0,,-35.70782448224278,,0.0,-35.70782448224278,,-35.70782448224278,1
SUN,1,6.9758772597001695,1.0,6.9758772597001695,,,,6.9758772597001695,6.9758772597001695,,0
TSEM,1,-111.74097468532993,0.0,,-111.74097468532993,,0.0,-111.74097468532993,,-111.74097468532993,1
UBER,1,-38.64667734842814,0.0,,-38.64667734842814,,0.0,-38.64667734842814,,-38.64667734842814,1
UPS,1,3.35613926727208,1.0,3.35613926727208,,,,3.35613926727208,3.35613926727208,,0
URBN,1,-64.7306021342165,0.0,,-64.7306021342165,,0.0,-64.7306021342165,,-64.7306021342165,1
