date,realized_daily_pnl,realized_signal_notional,daily_return,cumulative_pnl,drawdown
2025-10-17,0.0,0.0,0.0,-189.64707816278352,-189.64707816278352
2025-10-20,0.0,0.0,0.0,-189.64707816278352,-189.64707816278352
2025-10-21,0.0,0.0,0.0,-189.64707816278352,-189.64707816278352
2025-10-22,0.0,0.0,0.0,-189.64707816278352,-189.64707816278352
2025-10-23,-42.71603568730328,1000.0,-0.04271603568730328,-232.3631138500868,-232.3631138500868
2025-10-24,0.0,0.0,0.0,-232.3631138500868,-232.3631138500868
2025-10-27,-32.3516852149707,2000.0,-0.01617584260748535,-264.7147990650575,-264.7147990650575
2025-10-28,0.0,0.0,0.0,-264.7147990650575,-264.7147990650575
2025-10-29,12.308270017413227,1000.0,0.012308270017413227,-252.40652904764426,-252.40652904764426
2025-10-30,0.0,0.0,0.0,-252.40652904764426,-252.40652904764426
2025-10-31,0.0,0.0,0.0,-252.40652904764426,-252.40652904764426
2025-11-03,0.0,0.0,0.0,-252.40652904764426,-252.40652904764426
2025-11-04,0.0,0.0,0.0,-252.40652904764426,-252.40652904764426
2025-11-05,0.0,0.0,0.0,-252.40652904764426,-252.40652904764426
2025-11-06,0.0,0.0,0.0,-252.40652904764426,-252.40652904764426
2025-11-07,0.0,0.0,0.0,-252.40652904764426,-252.40652904764426
2025-11-10,0.0,0.0,0.0,-252.40652904764426,-252.40652904764426
2025-11-11,0.0,0.0,0.0,-252.40652904764426,-252.40652904764426
2025-11-12,5.28399323304012,1000.0,0.00528399323304012,-247.12253581460413,-247.12253581460413
2025-11-13,-72.75202221593949,2000.0,-0.036376011107969744,-319.87455803054365,-319.87455803054365
2025-11-14,-55.0237222695055,1000.0,-0.0550237222695055,-374.8982803000491,-374.8982803000491
2025-11-17,0.0,0.0,0.0,-374.8982803000491,-374.8982803000491
2025-11-18,0.0,0.0,0.0,-374.8982803000491,-374.8982803000491
2025-11-19,0.0,0.0,0.0,-374.8982803000491,-374.8982803000491
2025-11-20,0.0,0.0,0.0,-374.8982803000491,-374.8982803000491
2025-11-21,0.0,0.0,0.0,-374.8982803000491,-374.8982803000491
2025-11-24,0.0,0.0,0.0,-374.8982803000491,-374.8982803000491
2025-11-25,0.0,0.0,0.0,-374.8982803000491,-374.8982803000491
2025-11-26,0.0,0.0,0.0,-374.8982803000491,-374.8982803000491
2025-11-27,0.0,0.0,0.0,-374.8982803000491,-374.8982803000491
2025-11-28,0.0,0.0,0.0,-374.8982803000491,-374.8982803000491
2025-12-01,0.0,0.0,0.0,-374.8982803000491,-374.8982803000491
2025-12-02,203.2452369162637,2000.0,0.10162261845813185,-171.65304338378542,-171.65304338378542
2025-12-03,101.60095903093665,2000.0,0.05080047951546832,-70.05208435284877,-70.05208435284877
2025-12-04,0.0,0.0,0.0,-70.05208435284877,-70.05208435284877
2025-12-05,0.0,0.0,0.0,-70.05208435284877,-70.05208435284877
2025-12-08,19.477122426317166,1000.0,0.019477122426317165,-50.5749619265316,-50.5749619265316
2025-12-09,0.0,0.0,0.0,-50.5749619265316,-50.5749619265316
2025-12-10,0.0,0.0,0.0,-50.5749619265316,-50.5749619265316
2025-12-11,0.0,0.0,0.0,-50.5749619265316,-50.5749619265316
2025-12-12,0.0,0.0,0.0,-50.5749619265316,-50.5749619265316
2025-12-15,0.0,0.0,0.0,-50.5749619265316,-50.5749619265316
2025-12-16,0.0,0.0,0.0,-50.5749619265316,-50.5749619265316
2025-12-17,0.0,0.0,0.0,-50.5749619265316,-50.5749619265316
2025-12-18,0.0,0.0,0.0,-50.5749619265316,-50.5749619265316
2025-12-19,0.0,0.0,0.0,-50.5749619265316,-50.5749619265316
2025-12-22,0.0,0.0,0.0,-50.5749619265316,-50.5749619265316
2025-12-23,0.0,0.0,0.0,-50.5749619265316,-50.5749619265316
2025-12-24,0.0,0.0,0.0,-50.5749619265316,-50.5749619265316
2025-12-25,0.0,0.0,0.0,-50.5749619265316,-50.5749619265316
2025-12-26,0.0,0.0,0.0,-50.5749619265316,-50.5749619265316
2025-12-29,0.0,0.0,0.0,-50.5749619265316,-50.5749619265316
2025-12-30,0.0,0.0,0.0,-50.5749619265316,-50.5749619265316
2025-12-31,0.0,0.0,0.0,-50.5749619265316,-50.5749619265316
2026-01-01,0.0,0.0,0.0,-50.5749619265316,-50.5749619265316
2026-01-02,0.0,0.0,0.0,-50.5749619265316,-50.5749619265316
2026-01-05,0.0,0.0,0.0,-50.5749619265316,-50.5749619265316
2026-01-06,0.0,0.0,0.0,-50.5749619265316,-50.5749619265316
2026-01-07,0.0,0.0,0.0,-50.5749619265316,-50.5749619265316
2026-01-08,-10.728512289672132,1000.0,-0.010728512289672133,-61.30347421620373,-61.30347421620373
2026-01-09,0.0,0.0,0.0,-61.30347421620373,-61.30347421620373
2026-01-12,0.0,0.0,0.0,-61.30347421620373,-61.30347421620373
2026-01-13,0.0,0.0,0.0,-61.30347421620373,-61.30347421620373
2026-01-14,15.520782874398018,2000.0,0.007760391437199009,-45.782691341805716,-45.782691341805716
2026-01-15,0.0,0.0,0.0,-45.782691341805716,-45.782691341805716
2026-01-16,0.0,0.0,0.0,-45.782691341805716,-45.782691341805716
