symbol,trade_count,total_net_profit,win_rate,average_winner,average_loser,payoff_ratio,profit_factor,expectancy,largest_winner,largest_loser,maximum_consecutive_losses
PEP,1,18.682982294839327,1.0,18.682982294839327,,,,18.682982294839327,18.682982294839327,,0
PFE,1,40.93763861374833,1.0,40.93763861374833,,,,40.93763861374833,40.93763861374833,,0
POWL,1,-37.219113477391275,0.0,,-37.219113477391275,,0.0,-37.219113477391275,,-37.219113477391275,1
PYPL,1,20.566071147496757,1.0,20.566071147496757,,,,20.566071147496757,20.566071147496757,,0
RBLX,1,17.734035802562293,1.0,17.734035802562293,,,,17.734035802562293,17.734035802562293,,0
RL,1,-35.04288417012864,0.0,,-35.04288417012864,,0.0,-35.04288417012864,,-35.04288417012864,1
RTX,41,23.21643853100928,0.4634146341463415,29.574073084109123,-24.485952275775638,1.2077975465698856,1.0430978811285376,0.5662545983172995,127.25065282530173,-52.08399885836348,11
SHEL,4,191.13349313402557,1.0,47.78337328350639,,,,47.78337328350639,47.78337328350639,,0
SNOW,1,114.41425718627764,1.0,114.41425718627764,,,,114.41425718627764,114.41425718627764,,0
SPGI,1,-147.48715791671225,0.0,,-147.48715791671225,,0.0,-147.48715791671225,,-147.48715791671225,1
SSTK,1,-50.852102244985495,0.0,,-50.852102244985495,,0.0,-50.852102244985495,,-50.852102244985495,1
SUN,1,9.334672390957088,1.0,9.334672390957088,,,,9.334672390957088,9.334672390957088,,0
TSEM,1,-95.71324284054978,0.0,,-95.71324284054978,,0.0,-95.71324284054978,,-95.71324284054978,1
UBER,1,-54.38211472630939,0.0,,-54.38211472630939,,0.0,-54.38211472630939,,-54.38211472630939,1
UPS,1,-17.745046460554313,0.0,,-17.745046460554313,,0.0,-17.745046460554313,,-17.745046460554313,1
URBN,1,-72.76297840722049,0.0,,-72.76297840722049,,0.0,-72.76297840722049,,-72.76297840722049,1
USFD,1,9.663083823468607,1.0,9.663083823468607,,,,9.663083823468607,9.663083823468607,,0
USO,23,406.2862636511281,0.4782608695652174,122.08599041114574,-78.05496923928959,1.564102729153249,1.4337608350571447,17.6646201587447,271.823315690525,-136.11274175671025,5
WFC,1,-8.63089002244257,0.0,,-8.63089002244257,,0.0,-8.63089002244257,,-8.63089002244257,1
XAR,1,-15.96959811565483,0.0,,-15.96959811565483,,0.0,-15.96959811565483,,-15.96959811565483,1
XLE,27,-293.00354849848736,0.25925925925925924,107.76031639979308,-52.36628816485195,2.0578184969031543,0.7202364739161041,-10.851983277721754,122.23631375455133,-98.68888620777355,12
XLF,1,-6.777522001764791,0.0,,-6.777522001764791,,0.0,-6.777522001764791,,-6.777522001764791,1
XOM,9,118.68949499215078,1.0,13.187721665794532,,,,13.187721665794532,43.12090999488851,,0
XOP,1,-7.821299136677074,0.0,,-7.821299136677074,,0.0,-7.821299136677074,,-7.821299136677074,1
YUM,1,15.898102412731141,1.0,15.898102412731141,,,,15.898102412731141,15.898102412731141,,0
ZM,1,-49.69722334215207,0.0,,-49.69722334215207,,0.0,-49.69722334215207,,-49.69722334215207,1
