symbol,trade_count,total_net_profit,win_rate,average_winner,average_loser,payoff_ratio,profit_factor,expectancy,largest_winner,largest_loser,maximum_consecutive_losses
LUV,1,32.00544940360198,1.0,32.00544940360198,,,,32.00544940360198,32.00544940360198,,0
LZB,1,-5.0920572619360165,0.0,,-5.0920572619360165,,0.0,-5.0920572619360165,,-5.0920572619360165,1
M,1,131.3666341280492,1.0,131.3666341280492,,,,131.3666341280492,131.3666341280492,,0
MCHP,1,30.65965026511916,1.0,30.65965026511916,,,,30.65965026511916,30.65965026511916,,0
MRNA,1,-60.11219688316216,0.0,,-60.11219688316216,,0.0,-60.11219688316216,,-60.11219688316216,1
MRX,1,6.337358090397785,1.0,6.337358090397785,,,,6.337358090397785,6.337358090397785,,0
MS,1,-2.0548545938712426,0.0,,-2.0548545938712426,,0.0,-2.0548545938712426,,-2.0548545938712426,1
MTN,1,-24.239437376858586,0.0,,-24.239437376858586,,0.0,-24.239437376858586,,-24.239437376858586,1
NOC,37,117.20676663014228,0.43243243243243246,39.63895745555967,-24.61983584089583,1.610041501158821,1.2266982865971972,3.167750449463305,169.82191599344074,-84.1791956559764,5
NYT,1,30.271715685921393,1.0,30.271715685921393,,,,30.271715685921393,30.271715685921393,,0
OIH,1,-7.333507506850778,0.0,,-7.333507506850778,,0.0,-7.333507506850778,,-7.333507506850778,1
OKTA,1,93.27215286551798,1.0,93.27215286551798,,,,93.27215286551798,93.27215286551798,,0
ON,1,33.32715551057023,1.0,33.32715551057023,,,,33.32715551057023,33.32715551057023,,0
OPEN,1,-79.33809941797564,0.0,,-79.33809941797564,,0.0,-79.33809941797564,,-79.33809941797564,1
ORLY,1,-1.0841154944569074,0.0,,-1.0841154944569074,,0.0,-1.0841154944569074,,-1.0841154944569074,1
PEP,1,45.670821906536105,1.0,45.670821906536105,,,,45.670821906536105,45.670821906536105,,0
PFE,1,14.882619425526347,1.0,14.882619425526347,,,,14.882619425526347,14.882619425526347,,0
POWL,1,-152.01904031702392,0.0,,-152.01904031702392,,0.0,-152.01904031702392,,-152.01904031702392,1
PYPL,2,34.37588673128555,1.0,17.187943365642774,,,,17.187943365642774,22.36034744243761,,0
RBLX,1,12.308270017413227,1.0,12.308270017413227,,,,12.308270017413227,12.308270017413227,,0
RL,1,-33.27216899471652,0.0,,-33.27216899471652,,0.0,-33.27216899471652,,-33.27216899471652,1
RTX,40,154.61317819144168,0.475,35.88142504390947,-25.10161417346849,1.42944691906845,1.2933091172524074,3.8653294547860417,127.25065282530173,-69.70778907258116,11
SHEL,4,-127.13863975289067,0.0,,-31.784659938222667,,0.0,-31.784659938222667,,-31.784659938222667,4
SNOW,1,162.7662282719709,1.0,162.7662282719709,,,,162.7662282719709,162.7662282719709,,0
SOFI,1,51.00106146061131,1.0,51.00106146061131,,,,51.00106146061131,51.00106146061131,,0
SPGI,1,-135.18947511139774,0.0,,-135.18947511139774,,0.0,-135.18947511139774,,-135.18947511139774,1
SSTK,1,-9.748890342083465,0.0,,-9.748890342083465,,0.0,-9.748890342083465,,-9.748890342083465,1
SUN,1,6.9758772597001695,1.0,6.9758772597001695,,,,6.9758772597001695,6.9758772597001695,,0
TSEM,1,-111.74097468532993,0.0,,-111.74097468532993,,0.0,-111.74097468532993,,-111.74097468532993,1
UBER,1,-38.16762446786115,0.0,,-38.16762446786115,,0.0,-38.16762446786115,,-38.16762446786115,1
UPS,1,3.35613926727208,1.0,3.35613926727208,,,,3.35613926727208,3.35613926727208,,0
URBN,1,-64.7306021342165,0.0,,-64.7306021342165,,0.0,-64.7306021342165,,-64.7306021342165,1
USFD,1,1.8570076660582293,1.0,1.8570076660582293,,,,1.8570076660582293,1.8570076660582293,,0
USO,26,1238.791426614502,0.6538461538461539,97.80183133342337,-47.09330067263281,2.076767394438731,3.9227828561620477,47.64582410055777,272.31606831173696,-90.60450819749845,4
WFC,1,-10.728512289672132,0.0,,-10.728512289672132,,0.0,-10.728512289672132,,-10.728512289672132,1
XAR,1,-18.85096068895174,0.0,,-18.85096068895174,,0.0,-18.85096068895174,,-18.85096068895174,1
XLE,29,-232.35499438838156,0.3448275862068966,48.836974550990085,-37.93288104727802,1.2874575619532205,0.6776092431332739,-8.01224118580626,88.51652675269824,-61.38085095562973,11
XLF,1,4.019734273837369,1.0,4.019734273837369,,,,4.019734273837369,4.019734273837369,,0
XOM,9,-239.16799923015225,0.4444444444444444,12.503398309760847,-57.83631849383912,0.21618593014513435,0.1729487441161075,-26.574222136683584,18.10652293630548,-61.98658768510373,5
XOP,1,3.821186699949437,1.0,3.821186699949437,,,,3.821186699949437,3.821186699949437,,0
YUM,1,-15.986845209888147,0.0,,-15.986845209888147,,0.0,-15.986845209888147,,-15.986845209888147,1
ZM,1,-62.105823335193456,0.0,,-62.105823335193456,,0.0,-62.105823335193456,,-62.105823335193456,1
